#Name              :  NGC 253  
#Alpha(1950 (H M S):  00 45 06 
#Delta(1950)(d ' "):  -25 33 40 
#Type              :  Sc  
#Activity          : starburst
#Interaction       :    
#Position angle (d):  51 
#Inclination (d)   :    78.5  
#Distance (Mpc)    :   2.5      
#Scale radius (kpc):   2.3    
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000   135.62698
     0.10000   190.12740
     0.15000   198.31447
     0.20000   200.81197
     0.25000   200.99876
     0.30000   200.13698
     0.35000   198.97530
     0.40000   197.76917
     0.45000   196.48453
     0.50000   195.19402
     0.55000   194.16925
     0.60000   193.44012
     0.65000   192.92853
     0.70000   192.46947
     0.75000   191.77348
     0.80000   191.04269
     0.85000   190.67165
     0.90000   190.72060
     0.95000   191.10609
     1.00000   191.67680
     1.05000   192.31392
     1.10000   193.01279
     1.15000   193.77570
     1.20000   194.57196
     1.25000   195.38705
     1.30000   196.24396
     1.35000   197.15323
     1.40000   198.08662
     1.45000   198.94691
     1.50000   199.80484
     1.55000   200.66154
     1.60000   201.52228
     1.65000   202.39365
     1.70000   203.27986
     1.75000   204.18027
     1.80000   205.08929
     1.85000   205.99841
     1.90000   206.89890
     1.95000   207.78384
     2.00000   208.64857
     2.05000   209.48972
     2.10000   210.30418
     2.15000   211.08806
     2.20000   211.83549
     2.25000   212.53796
     2.30000   213.18462
     2.35000   213.76418
     2.40000   214.26752
     2.45000   214.68974
     2.50000   215.03081
     2.55000   215.29491
     2.60000   215.48917
     2.65000   215.62238
     2.70000   215.70403
     2.75000   215.74271
     2.80000   215.74391
     2.85000   215.70888
     2.90000   215.63548
     2.95000   215.52158
     3.00000   215.36812
     3.05000   215.17986
     3.10000   214.96246
     3.15000   214.71884
     3.20000   214.44711
     3.25000   214.14217
     3.30000   213.79994
     3.35000   213.42166
     3.40000   213.01675
     3.45000   212.60370
     3.50000   212.20959
     3.55000   211.86781
     3.60000   211.61359
     3.65000   211.47780
     3.70000   211.48132
     3.75000   211.63223
     3.80000   211.92674
     3.85000   212.35193
     3.90000   212.88693
     3.95000   213.50233
     4.00000   214.15846
     4.05000   214.80563
     4.10000   215.38670
     4.15000   215.84171
     4.20000   216.11391
     4.25000   216.15691
     4.30000   215.94206
     4.35000   215.46350
     4.40000   214.73785
     4.45000   213.79929
     4.50000   212.69341
     4.55000   211.47226
     4.60000   210.18909
     4.65000   208.89023
     4.70000   207.60596
     4.75000   206.34619
     4.80000   205.10687
     4.85000   203.88634
     4.90000   202.70264
     4.95000   201.59978
     5.00000   200.63684
     5.05000   199.86575
     5.10000   199.31190
     5.15000   198.96872
     5.20000   198.80634
     5.25000   198.78574
     5.30000   198.86929
     5.35000   199.02544
     5.40000   199.22926
     5.45000   199.46330
     5.50000   199.71840
     5.55000   199.99326
     5.60000   200.29074
     5.65000   200.61205
     5.70000   200.95209
     5.75000   201.29948
     5.80000   201.64159
     5.85000   201.97093
     5.90000   202.28857
     5.95000   202.60258
     6.00000   202.92345
     6.05000   203.25987
     6.10000   203.61678
     6.15000   203.99545
     6.20000   204.39406
     6.25000   204.80801
     6.30000   205.22989
     6.35000   205.64996
     6.40000   206.05847
     6.45000   206.44923
     6.50000   206.82274
     6.55000   207.18585
     6.60000   207.54762
     6.65000   207.91388
     6.70000   208.28468
     6.75000   208.65735
     6.80000   209.03294
     6.85000   209.42189
     6.90000   209.84464
     6.95000   210.32660
     7.00000   210.89014
     7.05000   211.54703
     7.10000   212.29349
     7.15000   213.10779
     7.20000   213.95024
     7.25000   214.76717
     7.30000   215.50031
     7.35000   216.10014
     7.40000   216.53712
     7.45000   216.80507
     7.50000   216.91556
     7.55000   216.88951
     7.60000   216.75195
     7.65000   216.53186
     7.70000   216.26247
     7.75000   215.97803
     7.80000   215.70711
     7.85000   215.46629
     7.90000   215.25880
     7.95000   215.07855
     8.00000   214.91702
     8.05000   214.76900
     8.10000   214.63312
     8.15000   214.50812
     8.20000   214.38889
     8.25000   214.26651
     8.30000   214.13287
     8.35000   213.98541
     8.40000   213.82767
     8.45000   213.66614
     8.50000   213.50679
     8.55000   213.35416
     8.60000   213.21198
     8.65000   213.08260
     8.70000   212.96460
     8.75000   212.85170
     8.80000   212.73515
     8.85000   212.60844
     8.90000   212.47035
     8.95000   212.32410
     9.00000   212.17459
     9.05000   212.02689
     9.10000   211.88708
     9.15000   211.76297
     9.20000   211.66232
     9.25000   211.58951
     9.30000   211.54340
     9.35000   211.51820
     9.40000   211.50648
     9.45000   211.50192
     9.50000   211.50046
     9.55000   211.50009
     9.60000   211.50002
     9.65000   211.50000
     9.70000   211.50000
