#Name              :  NGC 598  
#Alpha(1950 (H M S):  01 31 02 
#Delta(1950)(d ' "):  +30 24 15 
#Type              :  Sc  
#Activity          :          
#Interaction       :    
#Position angle (d):  22 
#Inclination (d)   :    54    
#Distance (Mpc)    :   0.79     
#Scale radius (kpc):   2.7    
#
#    R(kpc)    V(km/s)  
     0.00000     3.30000
     0.05000    12.35501
     0.10000    19.13551
     0.15000    22.82786
     0.20000    24.90182
     0.25000    26.73380
     0.30000    28.79415
     0.35000    31.27444
     0.40000    34.23188
     0.45000    37.56114
     0.50000    40.98502
     0.55000    44.30895
     0.60000    47.32238
     0.65000    49.88937
     0.70000    52.07684
     0.75000    54.03581
     0.80000    55.89319
     0.85000    57.75774
     0.90000    59.55142
     0.95000    61.08939
     1.00000    62.45247
     1.05000    63.74288
     1.10000    64.97252
     1.15000    66.21006
     1.20000    67.45506
     1.25000    68.70561
     1.30000    69.99028
     1.35000    71.24910
     1.40000    72.42741
     1.45000    73.53928
     1.50000    74.64402
     1.55000    75.73235
     1.60000    76.79269
     1.65000    77.81363
     1.70000    78.78750
     1.75000    79.71261
     1.80000    80.59263
     1.85000    81.43342
     1.90000    82.23991
     1.95000    83.01500
     2.00000    83.76043
     2.05000    84.47823
     2.10000    85.17100
     2.15000    85.84101
     2.20000    86.48914
     2.25000    87.11435
     2.30000    87.71447
     2.35000    88.28846
     2.40000    88.83940
     2.45000    89.37609
     2.50000    89.91164
     2.55000    90.45907
     2.60000    91.02668
     2.65000    91.61561
     2.70000    92.21997
     2.75000    92.82828
     2.80000    93.42504
     2.85000    93.99289
     2.90000    94.51569
     2.95000    94.98153
     3.00000    95.38378
     3.05000    95.71954
     3.10000    95.98784
     3.15000    96.18959
     3.20000    96.32975
     3.25000    96.41916
     3.30000    96.47419
     3.35000    96.51395
     3.40000    96.55643
     3.45000    96.61513
     3.50000    96.69743
     3.55000    96.80599
     3.60000    96.94288
     3.65000    97.11367
     3.70000    97.32769
     3.75000    97.59344
     3.80000    97.91304
     3.85000    98.28072
     3.90000    98.68680
     3.95000    99.12260
     4.00000    99.58089
     4.05000   100.05108
     4.10000   100.51482
     4.15000   100.94804
     4.20000   101.32974
     4.25000   101.65120
     4.30000   101.91865
     4.35000   102.14782
     4.40000   102.35432
     4.45000   102.54563
     4.50000   102.71831
     4.55000   102.86063
     4.60000   102.95844
     4.65000   103.00112
     4.70000   102.98574
     4.75000   102.91837
     4.80000   102.81269
     4.85000   102.68636
     4.90000   102.55560
     4.95000   102.42985
     5.00000   102.30931
     5.05000   102.18773
     5.10000   102.05938
     5.15000   101.92573
     5.20000   101.79650
     5.25000   101.68427
     5.30000   101.59661
     5.35000   101.53159
     5.40000   101.47929
     5.45000   101.42804
     5.50000   101.37143
     5.55000   101.31235
     5.60000   101.26230
     5.65000   101.23676
     5.70000   101.24944
     5.75000   101.30830
     5.80000   101.41486
     5.85000   101.56566
     5.90000   101.75424
     5.95000   101.97252
     6.00000   102.21228
     6.05000   102.46693
     6.10000   102.73314
     6.15000   103.01083
     6.20000   103.30135
     6.25000   103.60555
     6.30000   103.92332
     6.35000   104.25487
     6.40000   104.60201
     6.45000   104.96762
     6.50000   105.35275
     6.55000   105.75341
     6.60000   106.15939
     6.65000   106.55658
     6.70000   106.93141
     6.75000   107.27486
     6.80000   107.58482
     6.85000   107.86670
     6.90000   108.13252
