#Name              :  NGC 1003 
#Alpha(1950 (H M S):  02 36 06 
#Delta(1950)(d ' "):  +40 39 28 
#Type              :  Scd 
#Activity          :          
#Interaction       :    
#Position angle (d):  97 
#Inclination (d)   :    66    
#Distance (Mpc)    :   9.52     
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000    74.37500
     0.10000   146.15625
     0.15000   201.00000
     0.20000   228.09375
     0.25000   238.62500
     0.30000   243.37500
     0.35000   243.93750
     0.40000   242.78125
     0.45000   241.75000
     0.50000   241.07812
     0.55000   240.56250
     0.60000   239.87500
     0.65000   238.68750
     0.70000   236.70312
     0.75000   233.62500
