#Name              :  NGC 1068 
#Alpha(1950 (H M S):  02 40 07 
#Delta(1950)(d ' "):  -00 13 32 
#Type              :  Sb  
#Activity          : Seyfert  
#Interaction       :    
#Position angle (d):  79 
#Inclination (d)   :    46    
#Distance (Mpc)    :  18.1      
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.05265    37.80000
     0.10000    59.17266
     0.15000    82.31039
     0.20000   105.19963
     0.25000   128.11180
     0.30000   151.98235
     0.35000   174.67496
     0.40000   193.36353
     0.45000   207.42377
     0.50000   217.49733
     0.55000   224.04359
     0.60000   227.79572
     0.65000   229.41219
     0.70000   229.39937
     0.75000   228.35310
     0.80000   226.43330
     0.85000   223.37904
     0.90000   219.68575
     0.95000   216.41849
     1.00000   213.71858
     1.05000   211.56741
     1.10000   210.26807
     1.15000   209.44421
     1.20000   208.81693
     1.25000   208.54167
     1.30000   208.37187
     1.35000   207.94781
     1.40000   207.32977
     1.45000   206.63168
     1.50000   205.97610
     1.55000   205.35797
     1.60000   204.80481
     1.65000   204.32875
     1.70000   203.92722
     1.75000   203.58917
     1.80000   203.30264
     1.85000   203.05859
     1.90000   202.84872
     1.95000   202.66229
     2.00000   202.48747
     2.05000   202.31741
     2.10000   202.15376
     2.15000   202.00497
     2.20000   201.88393
     2.25000   201.81026
     2.30000   201.81197
     2.35000   201.91867
     2.40000   202.14717
     2.45000   202.49104
     2.50000   202.92389
     2.55000   203.41351
     2.60000   203.93642
     2.65000   204.48428
     2.70000   205.06084
     2.75000   205.67259
     2.80000   206.31995
     2.85000   206.99448
     2.90000   207.68538
     2.95000   208.38916
     3.00000   209.11189
     3.05000   209.85986
     3.10000   210.62544
     3.15000   211.38087
     3.20000   212.08580
     3.25000   212.70325
     3.30000   213.21352
     3.35000   213.61928
     3.40000   213.94090
     3.45000   214.20540
     3.50000   214.43410
     3.55000   214.63509
     3.60000   214.80409
     3.65000   214.93282
     3.70000   215.01817
     3.75000   215.06613
     3.80000   215.08856
     3.85000   215.09769
     3.90000   215.10323
     3.95000   215.11375
     4.00000   215.13934
     4.05000   215.19174
     4.10000   215.27946
     4.15000   215.40080
     4.20000   215.54131
     4.25000   215.68089
     4.30000   215.80740
     4.35000   215.92584
     4.40000   216.05550
     4.45000   216.21785
     4.50000   216.42590
     4.55000   216.68307
     4.60000   216.98979
     4.65000   217.34932
     4.70000   217.76830
     4.75000   218.25304
     4.80000   218.80585
     4.85000   219.42287
     4.90000   220.09412
     4.95000   220.80658
     5.00000   221.54910
     5.05000   222.31625
     5.10000   223.10782
     5.15000   223.92598
     5.20000   224.77516
     5.25000   225.66524
     5.30000   226.61256
     5.35000   227.63417
     5.40000   228.73804
     5.45000   229.91875
     5.50000   231.16216
     5.55000   232.45348
     5.60000   233.78114
     5.65000   235.13518
     5.70000   236.50568
     5.75000   237.88486
     5.80000   239.26959
     5.85000   240.65997
     5.90000   242.05508
     5.95000   243.45154
     6.00000   244.84760
     6.05000   246.24796
     6.10000   247.66214
     6.15000   249.09665
     6.20000   250.54791
     6.25000   252.00305
     6.30000   253.44872
     6.35000   254.88109
     6.40000   256.30914
     6.45000   257.74820
     6.50000   259.20831
     6.55000   260.68735
     6.60000   262.17365
     6.65000   263.65564
     6.70000   265.12991
     6.75000   266.60071
     6.80000   268.07373
     6.85000   269.54932
     6.90000   271.01968
     6.95000   272.46936
     7.00000   273.87750
     7.05000   275.22198
     7.10000   276.48547
     7.15000   277.66010
     7.20000   278.74979
     7.25000   279.77145
     7.30000   280.75470
