#Name              :  NGC 2708 
#Alpha(1950 (H M S):  08 53 37 
#Delta(1950)(d ' "):  -03 10 05 
#Type              :  Sb  
#Activity          :          
#Interaction       :    
#Position angle (d):  20 
#Inclination (d)   :    68    
#Distance (Mpc)    :  24.6      
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000    41.35880
     0.10000    75.77015
     0.15000   100.43435
     0.20000   116.45200
     0.25000   126.07475
     0.30000   131.34045
     0.35000   133.91901
     0.40000   135.07217
     0.45000   135.39055
     0.50000   134.84586
     0.55000   133.58919
     0.60000   132.12041
     0.65000   130.68291
     0.70000   129.33289
     0.75000   128.13318
     0.80000   127.01638
     0.85000   126.08797
     0.90000   125.50723
     0.95000   125.09549
     1.00000   124.79442
     1.05000   124.81595
     1.10000   125.15064
     1.15000   125.58658
     1.20000   126.27487
     1.25000   127.74751
     1.30000   130.09534
     1.35000   133.11655
     1.40000   136.74464
     1.45000   140.76842
     1.50000   144.70081
     1.55000   148.44279
     1.60000   151.89096
     1.65000   154.95503
     1.70000   157.58322
     1.75000   159.78217
     1.80000   161.61813
     1.85000   163.19717
     1.90000   164.63901
     1.95000   166.06535
     2.00000   167.60602
     2.05000   169.39754
     2.10000   171.54523
     2.15000   174.05643
     2.20000   176.80165
     2.25000   179.55815
     2.30000   182.12299
     2.35000   184.41570
     2.40000   186.50108
     2.45000   188.53619
     2.50000   190.69810
     2.55000   193.13544
     2.60000   195.94157
     2.65000   199.13335
     2.70000   202.63953
     2.75000   206.31825
     2.80000   210.00418
     2.85000   213.55789
     2.90000   216.88974
     2.95000   219.95677
     3.00000   222.75208
     3.05000   225.29866
     3.10000   227.64311
     3.15000   229.84160
     3.20000   231.94205
     3.25000   233.97055
     3.30000   235.92351
     3.35000   237.75945
     3.40000   239.39203
     3.45000   240.69920
     3.50000   241.56055
     3.55000   241.91052
     3.60000   241.77193
     3.65000   241.24336
     3.70000   240.45193
     3.75000   239.50758
     3.80000   238.48586
     3.85000   237.43655
     3.90000   236.39822
     3.95000   235.40340
     4.00000   234.47430
     4.05000   233.61714
     4.10000   232.82237
     4.15000   232.07149
     4.20000   231.34564
     4.25000   230.63112
     4.30000   229.92029
     4.35000   229.20992
     4.40000   228.49908
     4.45000   227.78773
     4.50000   227.07605
     4.55000   226.36420
     4.60000   225.65228
