#Name              :  NGC 3495 
#Alpha(1950 (H M S):  10 58 41 
#Delta(1950)(d ' "):  +03 53 43 
#Type              :  Sd  
#Activity          :          
#Interaction       :    
#Position angle (d):  20 
#Inclination (d)   :    85    
#Distance (Mpc)    :  12.8      
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000    12.53553
     0.10000    20.69079
     0.15000    24.79560
     0.20000    27.36611
     0.25000    29.44940
     0.30000    31.94083
     0.35000    35.75065
     0.40000    40.11559
     0.45000    44.12155
     0.50000    47.81378
     0.55000    51.19867
     0.60000    53.78985
     0.65000    55.32957
     0.70000    56.61401
     0.75000    58.33426
     0.80000    60.41080
     0.85000    62.80232
     0.90000    65.43180
     0.95000    67.89999
     1.00000    69.81017
     1.05000    71.25837
     1.10000    72.58457
     1.15000    73.91077
     1.20000    75.22751
     1.25000    76.41074
     1.30000    77.35527
     1.35000    78.15868
     1.40000    78.81857
     1.45000    79.33837
     1.50000    79.94361
     1.55000    80.71271
     1.60000    81.69719
     1.65000    82.89749
     1.70000    84.25789
     1.75000    85.69202
     1.80000    87.12360
     1.85000    88.51504
     1.90000    89.87053
     1.95000    91.22116
     2.00000    92.60713
     2.05000    94.06578
     2.10000    95.62607
     2.15000    97.30688
     2.20000    99.11514
     2.25000   101.03965
     2.30000   103.04197
     2.35000   105.05388
     2.40000   106.99121
     2.45000   108.78096
     2.50000   110.38464
     2.55000   111.80149
     2.60000   113.05244
     2.65000   114.15948
     2.70000   115.13416
     2.75000   115.97633
     2.80000   116.67765
     2.85000   117.22692
     2.90000   117.61815
     2.95000   117.85901
     3.00000   117.97371
     3.05000   117.99674
     3.10000   117.96177
     3.15000   117.89359
     3.20000   117.80685
     3.25000   117.70966
     3.30000   117.60829
     3.35000   117.51128
     3.40000   117.43299
     3.45000   117.39597
     3.50000   117.43041
     3.55000   117.57151
     3.60000   117.85925
     3.65000   118.34364
     3.70000   119.08886
     3.75000   120.16365
     3.80000   121.61350
     3.85000   123.42938
     3.90000   125.53557
     3.95000   127.80529
     4.00000   130.09274
     4.05000   132.26335
     4.10000   134.21294
     4.15000   135.87523
     4.20000   137.22064
     4.25000   138.25015
     4.30000   138.98860
     4.35000   139.47755
     4.40000   139.76591
     4.45000   139.89813
     4.50000   139.90674
     4.55000   139.81355
     4.60000   139.63678
     4.65000   139.39647
     4.70000   139.11403
     4.75000   138.80826
     4.80000   138.49281
