#Name              :  NGC 3672 
#Alpha(1950 (H M S):  11 22 30 
#Delta(1950)(d ' "):  -09 31 12 
#Type              :  Sc  
#Activity          :          
#Interaction       :    
#Position angle (d):   8 
#Inclination (d)   :    67    
#Distance (Mpc)    :  28.4      
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000     8.17544
     0.10000    15.13671
     0.15000    20.56873
     0.20000    24.70579
     0.25000    27.46013
     0.30000    29.48961
     0.35000    31.49676
     0.40000    33.50391
     0.45000    35.49586
     0.50000    37.45622
     0.55000    39.39904
     0.60000    41.34069
     0.65000    43.28233
     0.70000    45.22398
     0.75000    47.27055
     0.80000    49.58307
     0.85000    52.11268
     0.90000    54.69836
     0.95000    57.28405
     1.00000    59.86973
     1.05000    62.90426
     1.10000    67.30460
     1.15000    73.09009
     1.20000    78.79397
     1.25000    83.38112
     1.30000    87.38404
     1.35000    91.31095
     1.40000    95.02150
     1.45000    98.40882
     1.50000   101.78680
     1.55000   105.14875
     1.60000   108.49166
     1.65000   111.81566
     1.70000   115.12383
     1.75000   118.42371
     1.80000   121.73177
     1.85000   125.08030
     1.90000   128.52258
     1.95000   132.12804
     2.00000   135.96054
     2.05000   140.04424
     2.10000   144.33340
     2.15000   148.70644
     2.20000   152.99306
     2.25000   157.02589
     2.30000   160.69182
     2.35000   163.95436
     2.40000   166.83565
     2.45000   169.37354
     2.50000   171.58896
     2.55000   173.48656
     2.60000   175.08002
     2.65000   176.41264
     2.70000   177.55305
     2.75000   178.57098
     2.80000   179.51318
     2.85000   180.39392
     2.90000   181.20168
     2.95000   181.91541
     3.00000   182.52135
     3.05000   183.02319
     3.10000   183.44112
     3.15000   183.80286
     3.20000   184.13345
     3.25000   184.44948
     3.30000   184.75880
     3.35000   185.06313
     3.40000   185.36099
     3.45000   185.65012
     3.50000   185.92891
     3.55000   186.19759
     3.60000   186.45798
     3.65000   186.71272
     3.70000   186.96431
     3.75000   187.21446
     3.80000   187.46419
     3.85000   187.71411
     3.90000   187.96494
     3.95000   188.21771
     4.00000   188.47394
     4.05000   188.73508
     4.10000   189.00209
     4.15000   189.27492
     4.20000   189.55257
     4.25000   189.83353
     4.30000   190.11633
     4.35000   190.40004
     4.40000   190.68407
     4.45000   190.96817
     4.50000   191.25230
     4.55000   191.53644
     4.60000   191.82059
     4.65000   192.10477
     4.70000   192.38916
     4.75000   192.67419
     4.80000   192.96088
     4.85000   193.25090
     4.90000   193.54651
     4.95000   193.84978
     5.00000   194.16171
     5.05000   194.48186
     5.10000   194.80840
     5.15000   195.13908
     5.20000   195.47198
     5.25000   195.80585
     5.30000   196.14005
     5.35000   196.47430
     5.40000   196.80855
     5.45000   197.14258
     5.50000   197.47588
     5.55000   197.80724
     5.60000   198.13437
     5.65000   198.45406
     5.70000   198.76292
     5.75000   199.05872
     5.80000   199.34131
     5.85000   199.61282
     5.90000   199.87662
     5.95000   200.13597
     6.00000   200.39317
     6.05000   200.64928
     6.10000   200.90376
     6.15000   201.15388
     6.20000   201.39310
     6.25000   201.61047
     6.30000   201.79230
     6.35000   201.92653
     6.40000   202.00821
     6.45000   202.04192
     6.50000   202.03947
     6.55000   202.01483
     6.60000   201.97968
     6.65000   201.94208
     6.70000   201.90767
     6.75000   201.88106
     6.80000   201.86626
     6.85000   201.86575
     6.90000   201.87965
     6.95000   201.90561
     7.00000   201.93999
     7.05000   201.97919
     7.10000   202.02065
     7.15000   202.06297
     7.20000   202.10555
     7.25000   202.14818
     7.30000   202.19083
     7.35000   202.23352
     7.40000   202.27647
     7.45000   202.32050
     7.50000   202.36777
     7.55000   202.42293
     7.60000   202.49358
     7.65000   202.58897
     7.70000   202.71693
     7.75000   202.88029
     7.80000   203.07555
     7.85000   203.29449
     7.90000   203.52797
     7.95000   203.76863
     8.00000   204.01218
     8.05000   204.25659
     8.10000   204.50122
     8.15000   204.74590
     8.20000   204.99055
     8.25000   205.23523
     8.30000   205.47990
     8.35000   205.72458
     8.40000   205.96925
     8.45000   206.21397
     8.50000   206.45905
     8.55000   206.70547
     8.60000   206.95642
     8.65000   207.21880
     8.70000   207.50446
     8.75000   207.82874
     8.80000   208.20566
     8.85000   208.64209
     8.90000   209.13429
     8.95000   209.66988
     9.00000   210.23335
     9.05000   210.81155
     9.10000   211.39600
     9.15000   211.98230
     9.20000   212.56799
     9.25000   213.15005
     9.30000   213.72276
     9.35000   214.27689
     9.40000   214.80081
     9.45000   215.28461
     9.50000   215.72433
     9.55000   216.12405
     9.60000   216.49379
     9.65000   216.84505
     9.70000   217.18665
     9.75000   217.52263
     9.80000   217.85138
     9.85000   218.16473
     9.90000   218.44795
     9.95000   218.68243
    10.00000   218.85219
    10.05000   218.95091
    10.10000   218.98521
    10.15000   218.97128
    10.20000   218.92773
    10.25000   218.86937
    10.30000   218.80510
    10.35000   218.73898
    10.40000   218.67244
    10.45000   218.60582
    10.50000   218.53920
    10.55000   218.47256
    10.60000   218.40593
    10.65000   218.33920
    10.70000   218.27208
    10.75000   218.20366
    10.80000   218.13179
    10.85000   218.05258
    10.90000   217.96062
    10.95000   217.85039
    11.00000   217.71841
    11.05000   217.56488
    11.10000   217.39349
    11.15000   217.20988
    11.20000   217.01933
    11.25000   216.82556
    11.30000   216.63058
    11.35000   216.43529
    11.40000   216.23988
    11.45000   216.04449
    11.50000   215.84909
    11.55000   215.65369
    11.60000   215.45828
    11.65000   215.26288
    11.70000   215.06747
    11.75000   214.87209
    11.80000   214.67668
