#Name              :  UGC 03691
#Alpha(1950 (H M S):  07 05 11 
#Delta(1950)(d ' "):  +15 15 33 
#Type              :  Scd 
#Activity          :          
#Interaction       :    
#Position angle (d):  65 
#Inclination (d)   :    65    
#Distance (Mpc)    :  30.0      
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000     9.07708
     0.10000    16.15789
     0.15000    20.89114
     0.20000    24.49644
     0.25000    27.45633
     0.30000    29.81039
     0.35000    31.87513
     0.40000    33.69394
     0.45000    35.32263
     0.50000    36.90657
     0.55000    38.49051
     0.60000    40.16148
     0.65000    42.01879
     0.70000    43.98764
     0.75000    45.96875
     0.80000    47.94986
     0.85000    49.93097
     0.90000    51.91208
     0.95000    53.95339
     1.00000    56.17061
     1.05000    58.55907
     1.10000    61.00305
     1.15000    63.44703
     1.20000    65.89101
     1.25000    68.33499
     1.30000    70.78432
     1.35000    73.24668
     1.40000    75.71906
     1.45000    77.83107
     1.50000    79.83470
     1.55000    81.65289
     1.60000    83.25445
     1.65000    84.64594
     1.70000    85.85029
     1.75000    86.88876
     1.80000    87.77621
     1.85000    88.52557
     1.90000    89.15147
     1.95000    89.66881
     2.00000    90.09063
     2.05000    90.42932
     2.10000    90.69992
     2.15000    90.92083
     2.20000    91.11071
     2.25000    91.28455
     2.30000    91.45202
     2.35000    91.61875
     2.40000    91.78907
     2.45000    91.96827
     2.50000    92.16319
     2.55000    92.38081
     2.60000    92.62563
     2.65000    92.89764
     2.70000    93.19228
     2.75000    93.50256
     2.80000    93.82178
     2.85000    94.14516
     2.90000    94.47012
     2.95000    94.79562
     3.00000    95.12158
     3.05000    95.44877
     3.10000    95.77911
     3.15000    96.11601
     3.20000    96.46405
     3.25000    96.82774
     3.30000    97.20962
     3.35000    97.60916
     3.40000    98.02293
     3.45000    98.44623
     3.50000    98.87480
     3.55000    99.30573
     3.60000    99.73752
     3.65000   100.16954
     3.70000   100.60151
     3.75000   101.03305
     3.80000   101.46318
     3.85000   101.88978
     3.90000   102.30922
     3.95000   102.71689
     4.00000   103.10867
     4.05000   103.48267
     4.10000   103.84023
     4.15000   104.18517
     4.20000   104.52213
     4.25000   104.85497
     4.30000   105.18609
     4.35000   105.51664
     4.40000   105.84706
     4.45000   106.17755
     4.50000   106.50835
     4.55000   106.83999
     4.60000   107.17345
     4.65000   107.51010
     4.70000   107.85138
     4.75000   108.19829
     4.80000   108.55119
     4.85000   108.91063
     4.90000   109.27999
     4.95000   109.66982
     5.00000   110.10208
     5.05000   110.61001
     5.10000   111.22979
     5.15000   111.98513
     5.20000   112.87343
     5.25000   113.86395
     5.30000   114.91045
     5.35000   115.97021
     5.40000   117.01703
     5.45000   118.04234
     5.50000   119.04723
     5.55000   120.03266
     5.60000   120.99333
     5.65000   121.91722
     5.70000   122.79025
     5.75000   123.60315
     5.80000   124.35645
     5.85000   125.06050
     5.90000   125.73071
     5.95000   126.38175
     6.00000   127.02389
     6.05000   127.66267
     6.10000   128.30020
     6.15000   128.93655
     6.20000   129.57040
     6.25000   130.19902
     6.30000   130.81868
     6.35000   131.42570
     6.40000   132.01785
     6.45000   132.59550
     6.50000   133.16136
     6.55000   133.71925
     6.60000   134.27283
     6.65000   134.82472
     6.70000   135.37657
     6.75000   135.92935
     6.80000   136.48372
     6.85000   137.04044
     6.90000   137.60155
     6.95000   138.17310
     7.00000   138.76900
     7.05000   139.41377
     7.10000   140.13968
     7.15000   140.97623
     7.20000   141.93562
     7.25000   143.00188
     7.30000   144.13039
