#Name              :  NGC 4062 
#Alpha(1950 (H M S):  12 01 31 
#Delta(1950)(d ' "):  +32 10 26 
#Type              :  Sc  
#Activity          :          
#Interaction       :    
#Position angle (d): 100 
#Inclination (d)   :    68    
#Distance (Mpc)    :   9.7      
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000    18.45732
     0.10000    32.42142
     0.15000    42.63072
     0.20000    51.87294
     0.25000    61.24684
     0.30000    70.32983
     0.35000    78.14798
     0.40000    83.94754
     0.45000    87.73579
     0.50000    90.54258
     0.55000    93.68038
     0.60000    97.68882
     0.65000   102.21957
     0.70000   106.51521
     0.75000   109.34573
     0.80000   110.20883
     0.85000   110.11334
     0.90000   109.97060
     0.95000   110.23155
     1.00000   111.04759
     1.05000   112.12003
     1.10000   113.45983
     1.15000   115.25620
     1.20000   117.26782
     1.25000   119.22684
     1.30000   121.02487
     1.35000   122.65874
     1.40000   124.23682
     1.45000   125.55412
     1.50000   126.83749
     1.55000   128.07140
     1.60000   129.26572
     1.65000   130.44807
     1.70000   131.64696
     1.75000   132.87556
     1.80000   134.12399
     1.85000   135.36311
     1.90000   136.55753
     1.95000   137.68117
     2.00000   138.72804
     2.05000   139.71411
     2.10000   140.67232
     2.15000   141.64429
     2.20000   142.67039
     2.25000   143.77803
     2.30000   144.97047
     2.35000   146.22363
     2.40000   147.49631
     2.45000   148.75038
     2.50000   149.96953
     2.55000   151.16605
     2.60000   152.37335
     2.65000   153.62939
     2.70000   154.95940
     2.75000   156.36452
     2.80000   157.82014
     2.85000   159.28217
     2.90000   160.69522
     2.95000   161.99750
     3.00000   163.12163
     3.05000   163.99872
     3.10000   164.57007
     3.15000   164.80243
     3.20000   164.69591
     3.25000   164.27950
     3.30000   163.60075
     3.35000   162.71825
     3.40000   161.69905
     3.45000   160.61739
     3.50000   159.55138
     3.55000   158.57736
     3.60000   157.76044
     3.65000   157.14165
     3.70000   156.72551
     3.75000   156.47498
     3.80000   156.31737
