#Name              :  NGC 4448 
#Alpha(1950 (H M S):  12 25 46 
#Delta(1950)(d ' "):  +28 53 50 
#Type              :  SBab
#Activity          :          
#Interaction       :    
#Position angle (d):  94 
#Inclination (d)   :    71    
#Distance (Mpc)    :   9.7      
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000    79.83016
     0.10000   138.99741
     0.15000   170.30537
     0.20000   186.53818
     0.25000   197.99570
     0.30000   206.25911
     0.35000   212.07568
     0.40000   216.51057
     0.45000   220.13533
     0.50000   222.38950
     0.55000   222.77238
     0.60000   221.01575
     0.65000   217.36673
     0.70000   212.88046
     0.75000   208.28110
     0.80000   203.49536
     0.85000   198.47627
     0.90000   193.69496
     0.95000   189.59959
     1.00000   186.19067
     1.05000   183.63577
     1.10000   181.90527
     1.15000   181.01268
     1.20000   181.08327
     1.25000   181.58414
     1.30000   182.21883
     1.35000   183.19630
     1.40000   184.45793
     1.45000   185.73813
     1.50000   186.96655
     1.55000   188.08977
     1.60000   189.05849
     1.65000   189.84016
     1.70000   190.42857
     1.75000   190.84390
     1.80000   191.12337
     1.85000   191.30890
     1.90000   191.43762
     1.95000   191.53693
     2.00000   191.62392
     2.05000   191.70740
     2.10000   191.79089
     2.15000   191.87529
     2.20000   191.96043
     2.25000   192.04596
