#Name              :  NGC 4569 
#Alpha(1950 (H M S):  12 34 19 
#Delta(1950)(d ' "):  +13 26 16 
#Type              :  Sab 
#Activity          : LINER    
#Interaction       :    
#Position angle (d):  23 
#Inclination (d)   :    63    
#Distance (Mpc)    :   8.2      
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000   159.54854
     0.10000   209.26611
     0.15000   204.16331
     0.20000   201.09094
     0.25000   200.16937
     0.30000   200.09552
     0.35000   200.28922
     0.40000   200.19518
     0.45000   199.60783
     0.50000   198.67285
     0.55000   197.46835
     0.60000   195.93217
     0.65000   193.86362
     0.70000   191.16876
     0.75000   188.15335
     0.80000   185.13240
     0.85000   182.26231
     0.90000   179.70384
     0.95000   177.40735
     1.00000   175.34560
     1.05000   173.61893
     1.10000   172.15800
     1.15000   170.88936
     1.20000   169.83244
     1.25000   168.95847
     1.30000   168.25517
     1.35000   167.74393
     1.40000   167.44073
     1.45000   167.44925
     1.50000   167.47894
     1.55000   167.54668
     1.60000   167.66466
     1.65000   167.84384
     1.70000   168.09738
     1.75000   168.44000
     1.80000   168.88310
     1.85000   169.42827
     1.90000   170.06369
     1.95000   170.76694
     2.00000   171.51463
     2.05000   172.29420
     2.10000   173.10835
     2.15000   173.96809
     2.20000   174.87883
     2.25000   175.83174
     2.30000   176.80621
     2.35000   177.77936
     2.40000   178.73453
     2.45000   179.66479
     2.50000   180.57300
     2.55000   181.46970
     2.60000   182.36920
     2.65000   183.28378
     2.70000   184.21925
     2.75000   185.17482
     2.80000   186.14690
     2.85000   187.13300
     2.90000   188.13167
     2.95000   189.13821
     3.00000   190.14032
     3.05000   191.11900
     3.10000   192.05634
     3.15000   192.94472
     3.20000   193.78993
     3.25000   194.60478
     3.30000   195.39931
     3.35000   196.17525
     3.40000   196.92728
     3.45000   197.64665
     3.50000   198.32338
     3.55000   198.94838
     3.60000   199.51846
     3.65000   200.04321
     3.70000   200.54727
     3.75000   201.06244
     3.80000   201.61217
     3.85000   202.19952
     3.90000   202.80925
     3.95000   203.42213
     4.00000   204.02930
     4.05000   204.63490
     4.10000   205.24918
     4.15000   205.88086
     4.20000   206.53514
     4.25000   207.21419
     4.30000   207.91664
     4.35000   208.63683
     4.40000   209.36665
     4.45000   210.09953
     4.50000   210.83295
     4.55000   211.56911
     4.60000   212.31442
     4.65000   213.07922
     4.70000   213.87614
     4.75000   214.71605
     4.80000   215.60335
     4.85000   216.53403
     4.90000   217.49825
     4.95000   218.48615
     5.00000   219.49326
     5.05000   220.52335
     5.10000   221.58852
     5.15000   222.70654
     5.20000   223.89635
     5.25000   225.17181
     5.30000   226.53671
     5.35000   227.98280
     5.40000   229.49190
     5.45000   231.03952
     5.50000   232.59857
     5.55000   234.14194
     5.60000   235.64474
     5.65000   237.08745
     5.70000   238.45950
     5.75000   239.76147
     5.80000   241.00291
     5.85000   242.19592
     5.90000   243.34814
     5.95000   244.45964
     6.00000   245.52487
     6.05000   246.53696
     6.10000   247.49139
     6.15000   248.38763
     6.20000   249.22946
     6.25000   250.02342
     6.30000   250.77571
     6.35000   251.48824
     6.40000   252.15691
     6.45000   252.77422
     6.50000   253.33514
     6.55000   253.84248
     6.60000   254.30820
     6.65000   254.75009
     6.70000   255.18555
     6.75000   255.62511
     6.80000   256.06821
     6.85000   256.50366
     6.90000   256.91476
     6.95000   257.28732
     7.00000   257.61569
     7.05000   257.90445
     7.10000   258.16647
     7.15000   258.41971
     7.20000   258.68350
     7.25000   258.97345
     7.30000   259.29483
     7.35000   259.63748
     7.40000   259.97745
     7.45000   260.28705
     7.50000   260.54819
     7.55000   260.76123
     7.60000   260.94482
