#Name              :  NGC 4736 
#Alpha(1950 (H M S):  12 48 32 
#Delta(1950)(d ' "):  +41 23 32 
#Type              :  Sab 
#Activity          :          
#Interaction       :    
#Position angle (d): 108 
#Inclination (d)   :    35    
#Distance (Mpc)    :   5.1      
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000    75.07293
     0.10000   133.83134
     0.15000   166.81165
     0.20000   180.84657
     0.25000   187.16068
     0.30000   190.83144
     0.35000   192.69305
     0.40000   193.27501
     0.45000   193.51483
     0.50000   193.40465
     0.55000   193.03848
     0.60000   192.60107
     0.65000   192.11269
     0.70000   191.56680
     0.75000   190.90652
     0.80000   190.20880
     0.85000   189.56766
     0.90000   188.90891
     0.95000   188.18439
     1.00000   187.53764
     1.05000   187.01801
     1.10000   186.58278
     1.15000   186.18958
     1.20000   185.79636
     1.25000   185.39639
     1.30000   184.97559
     1.35000   184.49396
     1.40000   183.93407
     1.45000   183.54234
     1.50000   183.15657
     1.55000   182.77795
     1.60000   182.40305
     1.65000   182.02849
     1.70000   181.65588
     1.75000   181.29294
     1.80000   180.95061
     1.85000   180.63785
     1.90000   180.35744
     1.95000   180.10464
     2.00000   179.86903
     2.05000   179.63670
     2.10000   179.39204
     2.15000   179.12054
     2.20000   178.81339
     2.25000   178.47139
     2.30000   178.10513
     2.35000   177.73106
     2.40000   177.36617
     2.45000   177.02267
     2.50000   176.70338
     2.55000   176.39986
     2.60000   176.09587
     2.65000   175.77602
     2.70000   175.43462
     2.75000   175.07986
     2.80000   174.73174
     2.85000   174.41542
     2.90000   174.15343
     2.95000   173.95857
     3.00000   173.83043
     3.05000   173.75716
     3.10000   173.72147
     3.15000   173.70753
     3.20000   173.70561
     3.25000   173.71361
     3.30000   173.73624
     3.35000   173.78203
     3.40000   173.85786
     3.45000   173.96291
     3.50000   174.08698
     3.55000   174.21690
     3.60000   174.34802
     3.65000   174.49194
     3.70000   174.67305
     3.75000   174.91451
     3.80000   175.22285
     3.85000   175.58202
     3.90000   175.96080
     3.95000   176.32874
     4.00000   176.67020
     4.05000   176.98833
     4.10000   177.29868
     4.15000   177.61765
     4.20000   177.95287
     4.25000   178.29964
     4.30000   178.64406
     4.35000   178.97145
     4.40000   179.27521
     4.45000   179.56038
     4.50000   179.83855
     4.55000   180.11787
     4.60000   180.39809
     4.65000   180.67427
     4.70000   180.94473
     4.75000   181.21281
     4.80000   181.48109
     4.85000   181.74580
     4.90000   181.99802
     4.95000   182.22964
     5.00000   182.43633
     5.05000   182.61476
     5.10000   182.75983
     5.15000   182.86612
     5.20000   182.93205
     5.25000   182.96062
     5.30000   182.95586
     5.35000   182.91937
     5.40000   182.85115
     5.45000   182.75360
     5.50000   182.63396
     5.55000   182.50124
     5.60000   182.36066
     5.65000   182.21088
     5.70000   182.04733
     5.75000   181.86761
     5.80000   181.67407
     5.85000   181.47168
     5.90000   181.26395
     5.95000   181.04922
     6.00000   180.81908
     6.05000   180.56009
     6.10000   180.25920
     6.15000   179.90903
     6.20000   179.50897
     6.25000   179.06113
     6.30000   178.56479
     6.35000   178.01521
     6.40000   177.40807
     6.45000   176.74544
     6.50000   176.03795
     6.55000   175.30005
     6.60000   174.54295
     6.65000   173.77025
     6.70000   172.97852
     6.75000   172.16113
     6.80000   171.31355
     6.85000   170.43890
     6.90000   169.55000
     6.95000   168.66541
     7.00000   167.80070
     7.05000   166.96156
     7.10000   166.14330
     7.15000   165.33517
     7.20000   164.52582
     7.25000   163.70631
     7.30000   162.87137
     7.35000   162.01868
     7.40000   161.14722
     7.45000   160.25623
     7.50000   159.34644
     7.55000   158.42427
     7.60000   157.50488
     7.65000   156.61005
     7.70000   155.75972
     7.75000   154.96146
     7.80000   154.20526
     7.85000   153.46864
     7.90000   152.73045
     7.95000   151.98392
     8.00000   151.23990
     8.05000   150.51836
     8.10000   149.83475
     8.15000   149.19057
     8.20000   148.57286
     8.25000   147.96086
     8.30000   147.33478
     8.35000   146.68231
     8.40000   146.00140
     8.45000   145.29973
     8.50000   144.59114
     8.55000   143.89088
     8.60000   143.21175
     8.65000   142.56273
     8.70000   141.94849
     8.75000   141.36740
     8.80000   140.80959
     8.85000   140.25920
     8.90000   139.70213
     8.95000   139.13356
     9.00000   138.55840
     9.05000   137.98494
     9.10000   137.41856
     9.15000   136.86159
     9.20000   136.31754
     9.25000   135.79337
     9.30000   135.29631
     9.35000   134.82872
     9.40000   134.38594
     9.45000   133.95889
     9.50000   133.53880
     9.55000   133.12009
     9.60000   132.69957
     9.65000   132.27325
     9.70000   131.83395
     9.75000   131.37259
     9.80000   130.88333
     9.85000   130.36948
     9.90000   129.84476
     9.95000   129.32771
    10.00000   128.83252
    10.05000   128.36282
    10.10000   127.91281
    10.15000   127.47365
    10.20000   127.03943
    10.25000   126.60852
    10.30000   126.18110
    10.35000   125.75626
