#Name              :  NGC 6951 
#Alpha(1950 (H M S):  20 36 37 
#Delta(1950)(d ' "):  +65 55 46 
#Type              :  Sbc 
#Activity          :          
#Interaction       :    
#Position angle (d): 154 
#Inclination (d)   :    48    
#Distance (Mpc)    :  18        
#Scale radius (kpc):          
#
#    R(kpc)    V(km/s)  
     0.00000     0.00000
     0.05000    64.72935
     0.10000   136.68768
     0.15000   194.68414
     0.20000   228.14102
     0.25000   245.69559
     0.30000   255.51944
     0.35000   260.97192
     0.40000   263.57590
     0.45000   264.53809
     0.50000   264.58121
     0.55000   264.17480
     0.60000   263.38113
     0.65000   262.30783
     0.70000   261.11380
     0.75000   259.79309
     0.80000   258.14313
     0.85000   256.07260
     0.90000   253.72736
     0.95000   251.23210
     1.00000   248.56088
     1.05000   245.65468
     1.10000   242.91904
     1.15000   240.84680
     1.20000   238.78514
     1.25000   236.38191
     1.30000   234.42120
     1.35000   232.73564
     1.40000   230.85287
     1.45000   229.26625
     1.50000   227.70036
     1.55000   226.17912
     1.60000   224.73000
     1.65000   223.38101
     1.70000   222.15620
     1.75000   221.07104
     1.80000   220.12962
     1.85000   219.32454
     1.90000   218.63930
     1.95000   218.05246
     2.00000   217.54149
     2.05000   217.08569
     2.10000   216.66916
     2.15000   216.28340
     2.20000   215.92883
     2.25000   215.61293
     2.30000   215.34502
     2.35000   215.12970
     2.40000   214.96242
     2.45000   214.82941
     2.50000   214.71216
     2.55000   214.59456
     2.60000   214.46887
     2.65000   214.33792
     2.70000   214.21213
     2.75000   214.10353
     2.80000   214.02003
     2.85000   213.96286
     2.90000   213.92703
     2.95000   213.90372
     3.00000   213.88235
     3.05000   213.85213
     3.10000   213.80319
     3.15000   213.72878
     3.20000   213.62781
     3.25000   213.50670
     3.30000   213.37862
     3.35000   213.25917
     3.40000   213.16095
     3.45000   213.08958
     3.50000   213.04317
     3.55000   213.01430
     3.60000   212.99254
     3.65000   212.96642
     3.70000   212.92444
     3.75000   212.85651
     3.80000   212.75563
     3.85000   212.61946
     3.90000   212.44974
     3.95000   212.24925
     4.00000   212.01793
     4.05000   211.75089
     4.10000   211.44067
     4.15000   211.08267
     4.20000   210.67999
     4.25000   210.24409
     4.30000   209.79034
     4.35000   209.33105
     4.40000   208.86987
     4.45000   208.40051
     4.50000   207.90976
     4.55000   207.38336
     4.60000   206.81248
     4.65000   206.19890
     4.70000   205.55659
     4.75000   204.90900
     4.80000   204.28210
     4.85000   203.69638
     4.90000   203.16141
     4.95000   202.67551
     5.00000   202.23009
     5.05000   201.81544
     5.10000   201.42522
     5.15000   201.05739
     5.20000   200.71381
     5.25000   200.39966
     5.30000   200.12416
     5.35000   199.90080
     5.40000   199.74542
     5.45000   199.67168
     5.50000   199.68626
     5.55000   199.78641
     5.60000   199.96132
     5.65000   200.19714
     5.70000   200.48315
     5.75000   200.81627
     5.80000   201.20177
     5.85000   201.65030
     5.90000   202.17297
     5.95000   202.77649
     6.00000   203.45978
     6.05000   204.21297
     6.10000   205.01874
     6.15000   205.85661
     6.20000   206.70894
     6.25000   207.56622
     6.30000   208.42841
     6.35000   209.30099
     6.40000   210.18866
     6.45000   211.09010
     6.50000   211.99796
     6.55000   212.90308
     6.60000   213.79971
     6.65000   214.68806
     6.70000   215.57268
     6.75000   216.45811
     6.80000   217.34528
     6.85000   218.22949
     6.90000   219.10112
     6.95000   219.94785
     7.00000   220.75790
     7.05000   221.52333
     7.10000   222.24220
     7.15000   222.91878
     7.20000   223.56178
     7.25000   224.18159
     7.30000   224.78737
     7.35000   225.38570
     7.40000   225.98027
     7.45000   226.57265
     7.50000   227.16316
     7.55000   227.75157
     7.60000   228.33694
     7.65000   228.91695
     7.70000   229.48708
     7.75000   230.04041
     7.80000   230.56865
     7.85000   231.06444
     7.90000   231.52380
     7.95000   231.94806
     8.00000   232.34386
     8.05000   232.72121
     8.10000   233.09042
     8.15000   233.45909
     8.20000   233.83006
     8.25000   234.20120
     8.30000   234.56670
     8.35000   234.91971
     8.40000   235.25488
     8.45000   235.56927
     8.50000   235.86119
     8.55000   236.12811
     8.60000   236.36568
     8.65000   236.56882
     8.70000   236.73529
     8.75000   236.86922
     8.80000   236.98232
     8.85000   237.09109
     8.90000   237.21132
     8.95000   237.35274
     9.00000   237.51669
     9.05000   237.69797
     9.10000   237.88824
     9.15000   238.07915
     9.20000   238.26295
     9.25000   238.43210
     9.30000   238.57925
     9.35000   238.69931
     9.40000   238.79227
     9.45000   238.86481
     9.50000   238.92928
     9.55000   239.00035
     9.60000   239.09061
     9.65000   239.20689
     9.70000   239.34895
     9.75000   239.51067
     9.80000   239.68275
